EmpID,	ProjectID,	DateFrom,	DateTo
143,	12,	2013-11-01,	2013-11-10
218,	10,	2013-11-02,	2013-11-12
143,	10,	2013-11-05,	2013-11-13
219,	10,	12/01/2013,	12/05/2013
220,	10,	2013-12-02,	2013-12-13
221,	11,	10/2/2013,	10/11/2013
222,	10,	12/2/2013,	12/13/2013
223,	12,	12/2/2013,	12/11/2013
224,	10,	09/2/2013,	09/11/2013
225,	13,	12/2/2013,	12/11/2013
226,	10,	12/2/2013,	12/11/2013
227,	14,	12/2/2013,	12/11/2013
228,	10,	12/2/2013,	12/11/2013
229,	15,	08/2/2013,	08/11/2013
230,	16,	12/2/2013,	12/11/2013
231,	10,	12/2/2013,	12/11/2013
